,0
BGR Telecommunications,15.7
"BGR Computer programming, consultancy and related activities; information service activities",58.4
"BGR Financial service activities, except insurance and pension funding",10.2
"BGR Insurance, reinsurance and pension funding, except compulsory social security",23.3
BGR Activities auxiliary to financial services and insurance activities,4.9
BGR Real estate activities,12.2
BGR Legal and accounting activities; activities of head offices; management consultancy activities,15.0
BGR Architectural and engineering activities; technical testing and analysis,22.6
BGR Scientific research and development,13.0
BGR Advertising and market research,12.3
"BGR Other professional, scientific and technical activities; veterinary activities",9.9
BGR Administrative and support service activities,25.8
BGR Public administration and defence; compulsory social security,200.2
BGR Education,139.7
BGR Human health and social work activities,128.3
BGR Other service activities,66.4
BGR Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
BGR Activities of extraterritorial organizations and bodies,0.0
"BRA Crop and animal production, hunting and related service activities",26703.9
BRA Forestry and logging,1391.1
BRA Fishing and aquaculture,295.4
BRA Mining and quarrying,13177.3
"BRA Manufacture of food products, beverages and tobacco products",5448.0
"BRA Manufacture of textiles, wearing apparel and leather products",3674.4
"BRA Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",696.5
BRA Manufacture of paper and paper products,3927.4
BRA Printing and reproduction of recorded media,226.0
BRA Manufacture of coke and refined petroleum products ,19504.9
BRA Manufacture of chemicals and chemical products ,18570.0
BRA Manufacture of basic pharmaceutical products and pharmaceutical preparations,85.1
BRA Manufacture of rubber and plastic products,1737.7
BRA Manufacture of other non-metallic mineral products,35803.6
BRA Manufacture of basic metals,79580.0
"BRA Manufacture of fabricated metal products, except machinery and equipment",1233.1
"BRA Manufacture of computer, electronic and optical products",280.9
BRA Manufacture of electrical equipment,734.7
BRA Manufacture of machinery and equipment n.e.c.,722.9
"BRA Manufacture of motor vehicles, trailers and semi-trailers",1356.7
BRA Manufacture of other transport equipment,200.5
BRA Manufacture of furniture; other manufacturing,1624.4
BRA Repair and installation of machinery and equipment,0.0
"BRA Electricity, gas, steam and air conditioning supply",24350.6
"BRA Water collection, treatment and supply",263.5
"BRA Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",0.0
BRA Construction,5615.4
BRA Wholesale and retail trade and repair of motor vehicles and motorcycles,2140.9
"BRA Wholesale trade, except of motor vehicles and motorcycles",5222.5
"BRA Retail trade, except of motor vehicles and motorcycles",7049.5
BRA Land transport and transport via pipelines,36759.2
BRA Water transport,7993.5
BRA Air transport,15549.6
BRA Warehousing and support activities for transportation,3829.1
BRA Postal and courier activities,0.0
BRA Accommodation and food service activities,3281.5
BRA Publishing activities,15.6
"BRA Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",17.0
BRA Telecommunications,640.5
"BRA Computer programming, consultancy and related activities; information service activities",513.8
"BRA Financial service activities, except insurance and pension funding",866.5
"BRA Insurance, reinsurance and pension funding, except compulsory social security",0.0
BRA Activities auxiliary to financial services and insurance activities,0.0
BRA Real estate activities,530.8
BRA Legal and accounting activities; activities of head offices; management consultancy activities,1856.3
BRA Architectural and engineering activities; technical testing and analysis,765.6
BRA Scientific research and development,459.6
BRA Advertising and market research,0.0
"BRA Other professional, scientific and technical activities; veterinary activities",0.0
BRA Administrative and support service activities,2781.3
BRA Public administration and defence; compulsory social security,4475.6
BRA Education,3933.8
BRA Human health and social work activities,2465.4
BRA Other service activities,2888.2
BRA Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
BRA Activities of extraterritorial organizations and bodies,0.0
"CAN Crop and animal production, hunting and related service activities",11092.2
CAN Forestry and logging,3544.6
CAN Fishing and aquaculture,69.2
CAN Mining and quarrying,74353.5
"CAN Manufacture of food products, beverages and tobacco products",4085.2
"CAN Manufacture of textiles, wearing apparel and leather products",514.9
"CAN Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3392.7
CAN Manufacture of paper and paper products,5815.6
CAN Printing and reproduction of recorded media,794.7
CAN Manufacture of coke and refined petroleum products ,28543.9
CAN Manufacture of chemicals and chemical products ,12681.1
CAN Manufacture of basic pharmaceutical products and pharmaceutical preparations,103.7
CAN Manufacture of rubber and plastic products,2739.6
CAN Manufacture of other non-metallic mineral products,16276.5
CAN Manufacture of basic metals,28775.1
"CAN Manufacture of fabricated metal products, except machinery and equipment",1341.6
"CAN Manufacture of computer, electronic and optical products",498.3
CAN Manufacture of electrical equipment,480.8
CAN Manufacture of machinery and equipment n.e.c.,1413.7
"CAN Manufacture of motor vehicles, trailers and semi-trailers",1195.8
CAN Manufacture of other transport equipment,322.5
CAN Manufacture of furniture; other manufacturing,1344.6
CAN Repair and installation of machinery and equipment,0.0
"CAN Electricity, gas, steam and air conditioning supply",119218.3
"CAN Water collection, treatment and supply",0.0
"CAN Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",1645.5
CAN Construction,8497.6
CAN Wholesale and retail trade and repair of motor vehicles and motorcycles,3117.8
"CAN Wholesale trade, except of motor vehicles and motorcycles",5859.5
"CAN Retail trade, except of motor vehicles and motorcycles",6916.5
CAN Land transport and transport via pipelines,31589.8
CAN Water transport,17025.9
CAN Air transport,20026.6
CAN Warehousing and support activities for transportation,1394.0
CAN Postal and courier activities,1147.7
CAN Accommodation and food service activities,3861.7
CAN Publishing activities,22.6
"CAN Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",375.1
CAN Telecommunications,812.2
"CAN Computer programming, consultancy and related activities; information service activities",854.7
"CAN Financial service activities, except insurance and pension funding",3217.4
"CAN Insurance, reinsurance and pension funding, except compulsory social security",798.0
CAN Activities auxiliary to financial services and insurance activities,0.0
CAN Real estate activities,9314.8
CAN Legal and accounting activities; activities of head offices; management consultancy activities,1046.1
CAN Architectural and engineering activities; technical testing and analysis,837.2
CAN Scientific research and development,669.7
CAN Advertising and market research,231.2
"CAN Other professional, scientific and technical activities; veterinary activities",1822.0
CAN Administrative and support service activities,4594.3
CAN Public administration and defence; compulsory social security,7465.2
CAN Education,7428.6
CAN Human health and social work activities,7010.0
CAN Other service activities,5018.9
CAN Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
CAN Activities of extraterritorial organizations and bodies,0.0
"CHN Crop and animal production, hunting and related service activities",136122.6
CHN Forestry and logging,17475.8
CHN Fishing and aquaculture,7117.1
CHN Mining and quarrying,166011.9
"CHN Manufacture of food products, beverages and tobacco products",125283.4
"CHN Manufacture of textiles, wearing apparel and leather products",84639.5
"CHN Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",18023.7
CHN Manufacture of paper and paper products,53638.0
CHN Printing and reproduction of recorded media,5468.4
CHN Manufacture of coke and refined petroleum products ,89013.3
CHN Manufacture of chemicals and chemical products ,524558.4
CHN Manufacture of basic pharmaceutical products and pharmaceutical preparations,454.4
CHN Manufacture of rubber and plastic products,95532.6
CHN Manufacture of other non-metallic mineral products,1236558.4
CHN Manufacture of basic metals,855425.1
"CHN Manufacture of fabricated metal products, except machinery and equipment",20891.2
