Unnamed: 0,"AUT Crop and animal production, hunting and related service activities",AUT Forestry and logging,AUT Fishing and aquaculture,AUT Mining and quarrying,"AUT Manufacture of food products, beverages and tobacco products","AUT Manufacture of textiles, wearing apparel and leather products","AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",AUT Manufacture of paper and paper products,AUT Printing and reproduction of recorded media,AUT Manufacture of coke and refined petroleum products ,AUT Manufacture of chemicals and chemical products ,AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,AUT Manufacture of rubber and plastic products,AUT Manufacture of other non-metallic mineral products,AUT Manufacture of basic metals,"AUT Manufacture of fabricated metal products, except machinery and equipment","AUT Manufacture of computer, electronic and optical products",AUT Manufacture of electrical equipment,AUT Manufacture of machinery and equipment n.e.c.,"AUT Manufacture of motor vehicles, trailers and semi-trailers",AUT Manufacture of other transport equipment,AUT Manufacture of furniture; other manufacturing,AUT Repair and installation of machinery and equipment,"AUT Electricity, gas, steam and air conditioning supply","AUT Water collection, treatment and supply","AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",AUT Construction,AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,"AUT Wholesale trade, except of motor vehicles and motorcycles","AUT Retail trade, except of motor vehicles and motorcycles",AUT Land transport and transport via pipelines,AUT Water transport,AUT Air transport,AUT Warehousing and support activities for transportation,AUT Postal and courier activities,AUT Accommodation and food service activities,AUT Publishing activities,"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",AUT Telecommunications,"AUT Computer programming, consultancy and related activities; information service activities","AUT Financial service activities, except insurance and pension funding","AUT Insurance, reinsurance and pension funding, except compulsory social security",AUT Activities auxiliary to financial services and insurance activities,AUT Real estate activities,AUT Legal and accounting activities; activities of head offices; management consultancy activities,AUT Architectural and engineering activities; technical testing and analysis,AUT Scientific research and development,AUT Advertising and market research,"AUT Other professional, scientific and technical activities; veterinary activities",AUT Administrative and support service activities,AUT Public administration and defence; compulsory social security,AUT Education,AUT Human health and social work activities,AUT Other service activities,AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,AUT Activities of extraterritorial organizations and bodies
AUT Repair and installation of machinery and equipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AUT Electricity, gas, steam and air conditioning supply",149.3,3.8,5.8,753.4,456.8,18.3,91.2,120.6,43.6,170.8,285.8,35.0,109.6,439.9,2017.1,95.6,63.6,29.3,60.4,129.6,27.6,18.6,0.0,4059.3,220.8,5.8,1141.0,116.2,354.0,257.2,83.9,4.0,11.5,301.9,34.3,536.2,16.5,53.5,185.6,113.9,24.3,3.2,3.7,205.7,364.7,0.0,0.0,0.0,0.0,351.3,307.6,445.5,194.1,247.5,47.8,0.0
"AUT Water collection, treatment and supply",521.1,1.4,2.2,97.2,126.5,14.3,8.8,29.3,7.0,28.1,77.9,10.2,24.1,23.2,75.3,9.7,9.0,4.7,18.1,62.5,2.2,3.2,0.0,95.6,336.5,3.6,498.8,73.8,92.9,30.9,149.4,2.1,2.2,158.5,8.8,214.2,7.1,10.1,202.1,47.5,7.3,6.1,5.0,366.7,517.3,0.0,0.0,0.0,0.0,344.5,197.5,37.3,79.2,89.3,37.1,0.0
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",1.9,0.0,0.0,25.4,12.7,1.9,2.1,5.5,1.1,2.2,6.6,2.8,6.7,6.6,15.4,3.8,1.9,1.8,2.2,6.2,4.6,1.6,0.0,21.7,22.6,0.0,1083.3,8.7,34.9,19.2,3.4,0.7,2.9,5.5,1.4,10.8,1.3,2.0,9.4,4.7,1.4,1.0,1.1,20.5,12.1,0.0,0.0,0.0,0.0,18.6,17.1,2.9,24.7,18.6,1.4,0.0
AUT Construction,604.7,23.4,10.0,2237.2,264.0,22.6,75.5,49.1,36.3,513.9,79.3,37.5,88.1,63.5,255.4,84.2,52.4,27.7,53.8,150.6,54.1,15.2,0.0,1822.8,769.9,2.5,38916.3,81.9,1629.2,677.7,555.4,12.4,106.0,531.2,25.0,746.4,70.8,41.9,1366.5,326.1,49.3,22.4,72.5,2461.6,730.6,0.0,0.0,0.0,0.0,390.6,2547.8,90.7,123.7,226.3,35.6,0.0
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,290.7,105.3,32.2,208.5,221.2,0.9,15.3,18.5,60.5,24.0,95.9,14.0,5.5,25.1,15.3,20.5,4.5,2.3,12.9,76.3,0.6,17.4,0.0,152.7,43.7,3.3,606.1,13.2,617.5,641.4,1447.7,37.8,22.0,416.0,84.2,64.8,51.3,31.2,372.3,90.6,22.2,6.1,9.4,132.0,213.0,0.0,0.0,0.0,0.0,343.5,193.7,35.7,93.0,147.5,30.2,0.0
"AUT Wholesale trade, except of motor vehicles and motorcycles",1538.9,114.4,78.8,1065.6,2211.4,451.2,337.2,239.1,225.1,307.4,845.5,158.0,443.1,303.1,802.1,657.2,279.5,254.7,450.2,1311.2,320.7,295.9,0.0,325.5,237.2,27.5,3688.2,1046.3,1589.9,949.1,1268.9,59.9,376.2,318.8,205.5,1530.2,104.8,209.2,789.6,370.9,88.5,17.5,24.5,414.8,804.7,0.0,0.0,0.0,0.0,634.9,850.6,714.2,1070.7,1222.7,168.9,0.0
"AUT Retail trade, except of motor vehicles and motorcycles",477.9,48.7,24.2,209.6,638.4,190.6,64.6,48.3,56.5,45.7,185.4,43.5,73.9,68.5,128.2,117.0,46.8,38.7,71.8,233.8,55.3,60.5,0.0,96.4,55.0,7.9,895.4,170.9,724.9,603.1,509.4,17.8,91.1,186.3,64.3,597.6,45.1,78.5,246.0,101.4,57.4,9.1,13.9,162.0,241.3,0.0,0.0,0.0,0.0,278.9,266.1,208.0,335.0,374.5,53.5,0.0
AUT Land transport and transport via pipelines,759.5,29.7,15.0,649.2,2024.3,106.3,402.4,154.7,70.6,108.9,366.3,53.7,181.9,545.1,1036.6,270.5,51.4,65.2,106.6,193.2,50.4,120.7,0.0,251.6,52.3,5.7,1640.4,64.2,820.9,316.7,978.1,23.7,85.6,311.6,66.2,511.4,59.0,45.7,263.8,86.6,30.4,8.4,19.0,121.8,239.3,0.0,0.0,0.0,0.0,244.7,498.3,206.9,206.8,254.7,39.2,0.0
AUT Water transport,8.5,0.3,4.5,208.5,68.7,8.2,7.3,28.9,3.8,281.0,96.6,8.8,47.1,133.4,498.3,43.2,5.4,3.1,53.3,13.8,1.6,3.9,0.0,129.7,0.6,2.1,78.1,5.3,138.2,48.6,11.8,522.3,14.2,12.2,19.0,53.2,11.1,1.3,84.1,70.7,10.4,1.9,1.6,49.8,221.8,0.0,0.0,0.0,0.0,115.5,143.6,37.0,31.6,23.0,19.1,0.0
